model,project,covered_failures,covered_failed_tokens
claude,AC,5,9290166
claude,AL,6,2608715
claude,IR,5,2921106
claude,MA,4,1263692
claude,NO,1,341216
claude,NR,15,14058663
claude,OS,8,8248989
claude,ST,5,3062026
claude,VE,4,1949168
claude-s4,AC,13,34093348
claude-s4,AL,14,5229598
claude-s4,IR,21,9518147
claude-s4,MA,10,3576403
claude-s4,NR,22,18688826
claude-s4,OS,19,21213600
claude-s4,ST,15,7964766
claude-s4,VE,6,2368118
gpt5,AC,6,10490828
gpt5,AL,2,753127
gpt5,IR,23,11273381
gpt5,MA,10,3927112
gpt5,NO,3,1521173
gpt5,NR,22,15381083
gpt5,OS,28,22728006
gpt5,ST,11,5491881
gpt5,VE,5,3240586
o4mini,AC,15,26321849
o4mini,AL,33,12872408
o4mini,IR,37,15470232
o4mini,MA,18,8246583
o4mini,NO,7,2898528
o4mini,NR,59,47581524
o4mini,OS,41,31903281
o4mini,ST,18,8631077
o4mini,VE,6,2527586
