model,project,tasks,verified,failed,verify_rate,total_tokens,mean_attempts
claude,AC,60,21,39,0.35,114822148,15.52
claude,AL,89,73,16,0.8202,9883356,7.44
claude,IR,106,71,35,0.6698,28954660,10.73
claude,MA,73,61,12,0.8356,6695165,7.59
claude,NO,28,27,1,0.9643,1075589,4.25
claude,NR,176,104,72,0.5909,102449988,11.03
claude,OS,141,86,55,0.6099,69838164,11.28
claude,ST,57,42,15,0.7368,14687863,9.54
claude,VE,19,14,5,0.7368,2828072,7.79
claude-s4,AC,60,13,47,0.2167,144548931,17.0
claude-s4,AL,89,65,24,0.7303,13931991,9.94
claude-s4,IR,106,55,51,0.5189,32208947,12.88
claude-s4,MA,73,55,18,0.7534,8768755,9.05
claude-s4,NO,28,28,0,1.0,1167650,4.5
claude-s4,NR,176,97,79,0.5511,112019773,12.36
claude-s4,OS,141,75,66,0.5319,89239400,12.7
claude-s4,ST,57,32,25,0.5614,19571689,12.54
claude-s4,VE,19,12,7,0.6316,3202115,10.0
gpt5,AC,60,20,40,0.3333,84865610,13.97
gpt5,AL,89,77,12,0.8652,8729406,6.3
gpt5,IR,106,53,53,0.5,36236870,11.61
gpt5,MA,73,55,18,0.7534,9710474,7.85
gpt5,NO,28,25,3,0.8929,2493058,5.5
gpt5,NR,176,97,79,0.5511,91996156,10.31
gpt5,OS,141,66,75,0.4681,83161155,12.2
gpt5,ST,57,36,21,0.6316,15164458,9.39
gpt5,VE,19,13,6,0.6842,4536990,9.58
o4mini,AC,60,11,49,0.1833,101606279,17.33
o4mini,AL,89,46,43,0.5169,20316759,12.58
o4mini,IR,106,39,67,0.3679,39985999,15.39
o4mini,MA,73,47,26,0.6438,13705587,11.04
o4mini,NO,28,21,7,0.75,4356028,9.29
o4mini,NR,176,60,116,0.3409,124878547,15.22
o4mini,OS,141,53,88,0.3759,84093017,15.06
o4mini,ST,57,29,28,0.5088,18644578,13.26
o4mini,VE,19,12,7,0.6316,4011533,11.74
