model,project,status,prompt_count,mean_bytes,median_bytes,p90_bytes,p99_bytes,over_100k,over_200k
claude,AC,FAILED,802,180825.6,186978,217184,249656,754,197
claude,AC,TIMEOUT,249,218578.3,208001,236393,470059,248,156
claude,AC,VERIFIED,147,154991.3,168227,213190,263707,117,35
claude,AL,FAILED,410,16299.3,15106,32727,40927,0,0
claude,AL,VERIFIED,293,10675.8,6920,22347,45311,0,0
claude,IR,FAILED,784,32108.7,26294,63363,126422,13,0
claude,IR,TIMEOUT,124,61466.7,60249,88165,114606,6,0
claude,IR,VERIFIED,425,22028.2,10676,53155,93273,2,0
claude,MA,FAILED,327,11502.6,11049,19503,28068,0,0
claude,MA,VERIFIED,297,10904.8,8150,19390,78373,0,0
claude,NO,FAILED,20,14733.0,13661,19477,20778,0,0
claude,NO,VERIFIED,93,8517.5,5847,19907,63164,0,0
claude,NR,FAILED,1418,79186.1,78776,141270,190191,530,0
claude,NR,TIMEOUT,374,97610.0,86528,151200,179055,186,1
claude,NR,VERIFIED,506,33174.4,18876,81965,133313,33,0
claude,OS,FAILED,1231,71062.6,65623,128638,219688,343,16
claude,OS,VERIFIED,433,55635.7,47299,118280,160053,56,1
claude,ST,FAILED,388,40069.8,40684,62629,77889,0,0
claude,ST,VERIFIED,226,24193.9,21700,42458,58984,0,0
claude,VE,FAILED,135,21289.1,18829,42968,48295,0,0
claude,VE,VERIFIED,44,11536.6,6843,22706,46288,0,0
claude-s4,AC,FAILED,1019,172379.5,178630,214971,270534,914,209
claude-s4,AC,TIMEOUT,508,200976.8,193586,221367,562129,506,144
claude-s4,AC,VERIFIED,128,160739.2,172062,199483,261276,114,10
claude-s4,AL,FAILED,530,15467.5,13302,33268,38303,0,0
claude-s4,AL,TIMEOUT,179,11473.7,9183,21486,36597,0,0
claude-s4,AL,VERIFIED,425,10720.1,9067,20995,29565,0,0
claude-s4,IR,FAILED,1274,29166.7,20918,67505,128346,30,0
claude-s4,IR,TIMEOUT,111,48497.5,48393,64116,81009,1,0
claude-s4,IR,VERIFIED,359,16571.8,9313,38551,97805,2,0
claude-s4,MA,FAILED,429,14531.2,12202,23793,41458,0,0
claude-s4,MA,VERIFIED,292,9570.1,8420,17078,32848,0,0
claude-s4,NO,VERIFIED,107,11965.6,8083,21973,81023,0,0
claude-s4,NR,FAILED,1944,76216.9,73856,139569,192954,729,16
claude-s4,NR,TIMEOUT,155,111455.1,118789,140108,255533,98,14
claude-s4,NR,VERIFIED,605,36748.6,26283,84922,125926,16,0
claude-s4,OS,FAILED,1653,71717.4,64770,129363,154742,382,6
claude-s4,OS,TIMEOUT,19,78942.2,77683,88319,88594,0,0
claude-s4,OS,VERIFIED,468,54949.5,46915,116698,145905,82,0
claude-s4,ST,FAILED,641,35608.4,32855,60841,78872,0,0
claude-s4,ST,VERIFIED,220,23109.7,19419,44354,50121,0,0
claude-s4,VE,FAILED,184,18948.9,14899,42437,54404,0,0
claude-s4,VE,VERIFIED,50,8321.7,7053,13108,17905,0,0
gpt5,AC,FAILED,21,204181.3,204773,206147,207401,21,19
gpt5,AC,TIMEOUT,891,188380.1,191194,224851,310669,865,301
gpt5,AC,VERIFIED,94,122188.7,159853,194339,217583,61,3
gpt5,AL,TIMEOUT,381,11115.2,9220,19876,37516,0,0
gpt5,AL,VERIFIED,275,7024.5,5643,12769,29006,0,0
gpt5,IR,FAILED,20,70694.1,71880,76819,79594,0,0
gpt5,IR,TIMEOUT,1439,27884.7,19711,62408,130066,36,1
gpt5,IR,VERIFIED,254,12978.8,8121,29610,70967,1,0
gpt5,MA,TIMEOUT,463,12153.1,11013,20086,35953,0,0
gpt5,MA,VERIFIED,228,6905.2,5902,11997,21522,0,0
gpt5,NO,TIMEOUT,68,20130.4,19715,31367,70968,0,0
gpt5,NO,VERIFIED,79,9646.1,7029,19209,62574,0,0
gpt5,NR,FAILED,291,101104.1,129660,149161,154764,170,0
gpt5,NR,TIMEOUT,1465,83506.4,80907,145799,172388,633,4
gpt5,NR,VERIFIED,436,28523.2,18163,78335,127303,19,0
gpt5,OS,FAILED,65,49035.6,48424,53632,54577,0,0
gpt5,OS,TIMEOUT,1924,70969.6,61471,147581,207499,463,25
gpt5,OS,VERIFIED,248,47655.8,30653,112564,148150,40,0
gpt5,ST,TIMEOUT,413,42546.8,39180,70730,115581,14,0
gpt5,ST,VERIFIED,161,16991.6,15473,27420,42097,0,0
gpt5,VE,TIMEOUT,353,12160.1,9973,20641,29266,0,0
gpt5,VE,VERIFIED,70,9799.4,8456,17483,36550,0,0
o4mini,AC,FAILED,372,167949.3,176293,219725,228377,326,73
o4mini,AC,TIMEOUT,1245,167379.2,181570,202723,260011,1110,152
o4mini,AC,VERIFIED,51,114616.3,141742,191072,193996,33,0
o4mini,AL,FAILED,823,10563.5,9825,17366,36156,0,0
o4mini,AL,TIMEOUT,661,8146.1,6340,14503,36497,0,0
o4mini,AL,VERIFIED,287,7904.7,5564,14536,35753,0,0
o4mini,IR,FAILED,1363,15583.6,9764,32911,71991,0,0
o4mini,IR,TIMEOUT,1196,24501.0,13791,64898,98339,8,0
o4mini,IR,VERIFIED,428,14681.3,7916,40807,62267,0,0
o4mini,MA,FAILED,601,10685.5,9487,18847,41024,0,0
o4mini,MA,TIMEOUT,326,9863.4,7248,19452,43345,0,0
o4mini,MA,VERIFIED,350,6689.3,5747,11651,28380,0,0
o4mini,NO,FAILED,124,11533.0,7563,24830,76672,1,0
o4mini,NO,TIMEOUT,134,11152.0,9161,22506,27463,0,0
o4mini,NO,VERIFIED,151,7866.5,6258,14871,36151,0,0
o4mini,NR,FAILED,2053,43328.9,26423,130329,149024,326,0
o4mini,NR,TIMEOUT,1897,75737.3,81061,130457,159807,622,5
