threshold,project,gated_traces,nonverified_gated,verified_false_stops,saved_total_tokens
2,AC,204,175,29,395002980
2,AL,209,95,114,43668180
2,IR,316,206,110,123753274
2,MA,147,74,73,30878541
2,NO,40,11,29,6611536
2,NR,500,346,154,372175772
2,OS,443,284,159,284915308
2,ST,164,89,75,58231084
2,VE,43,25,18,12391604
3,AC,196,175,21,349691922
3,AL,150,95,55,36793429
3,IR,266,205,61,106421973
3,MA,118,74,44,25199992
3,NO,24,11,13,5121328
3,NR,430,343,87,321760026
3,OS,373,283,90,247452593
3,ST,131,88,43,48076843
3,VE,35,25,10,10322321
4,AC,186,173,13,303766507
4,AL,129,95,34,31422357
4,IR,242,203,39,88557664
4,MA,105,73,32,19819085
4,NO,18,11,7,4122520
4,NR,391,338,53,274275058
4,OS,338,282,56,202135618
4,ST,114,86,28,39870136
4,VE,30,25,5,8417251
5,AC,180,172,8,266944860
5,AL,114,94,20,24848227
5,IR,227,195,32,73699258
5,MA,89,72,17,15778894
5,NO,18,11,7,3382708
5,NR,367,328,39,220642178
5,OS,313,275,38,163642157
5,ST,95,81,14,32041151
5,VE,27,24,3,7240463
6,AC,173,169,4,227971872
6,AL,104,91,13,20032813
6,IR,206,186,20,59929981
6,MA,76,65,11,12113842
6,NO,17,11,6,2674572
6,NR,339,312,27,181822289
6,OS,290,265,25,133104078
6,ST,87,76,11,24481790
6,VE,25,23,2,6072399
8,AC,150,148,2,161805782
8,AL,81,75,6,12674971
8,IR,157,149,8,36503249
8,MA,56,54,2,7320661
8,NO,10,9,1,1351919
8,NR,266,254,12,113531357
8,OS,225,213,12,84256510
8,ST,59,51,8,13536050
8,VE,16,16,0,3767390
