model,task_dir,attempts,llm_calls,accepted_repairs,input_tokens_in_log,output_tokens_in_log,top_action,top_action_count,top_error,top_error_count
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper7-20251129-180207,20,96,1,808955,193313,seqsetmap,19,AssertFail,19
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper6-20251129-173633,20,96,1,769932,199522,seqsetmap,19,AssertFail,19
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper3-20251129-185547,20,96,1,768738,366756,seqsetmap,19,AssertFail,19
o4mini,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251129-170947,20,96,1,753097,200952,seqsetmap,18,AssertFail,19
gpt5,o-AL__tla_forall_and_equality-20251125-222223,20,96,1,475712,317913,case_analysis,11,AssertFail,19
gpt5,o-VE__regular__repetition__impl2__lemma_prefix_secure_helper-20251129-174229,20,96,1,447125,228315,induction,19,AssertFail,19
o4mini,o-NR__extra__aligned_transitive-20251127-120334,20,96,1,226072,162601,uselemma,19,AssertFail,19
o4mini,o-AL__entails_implies_leads_to-20251126-214742,20,95,2,318596,263644,instantiate_forall,19,AssertFail,19
gpt5,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper2-20251129-182547,20,94,1,750130,341560,seqsetmap,19,AssertFail,19
o4mini,o-IR__verus_extra__some_differing_index_for_unequal_seqs-20251127-125813,20,94,2,270045,173269,case_analysis,14,AssertFail,19
o4mini,o-NR__extra__lemma_aligned_iff_eq_mul_div-20251127-124201,20,94,1,229239,161392,uselemma,17,AssertFail,19
o4mini,o-NR__impl_u__os_refinement__next_step_refines_hl_next_step-20251128-011323,20,93,1,4164942,359885,instantiate_exists,12,AssertFail,19
gpt5,o-AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates-20251126-151941,20,93,2,3905342,418019,case_analysis,13,AssertFail,19
o4mini,o-VE__regular__leb128__impl2__lemma_parse_high_8_bits_set_until_last-20251129-104433,20,93,1,444175,171773,induction,12,AssertFail,19
o4mini,o-MA__commit_mask__impl__lemma_view-20251127-205253,20,93,1,367313,212314,instantiate_forall,9,AssertFail,19
o4mini,o-MA__pigeonhole__lemma_nat_range-20251127-044535,20,93,2,315056,179257,induction,18,AssertFail,19
o4mini,o-NR__impl_u__os_refinement__interp_vmem_subrange-20251127-221703,20,92,1,673484,266005,extensional_equality,18,AssertFail,19
o4mini,o-AL__tla_forall_or_equality-20251126-022623,20,92,1,408421,231560,case_analysis,9,AssertFail,19
gpt5,o-AL__tla_forall_a_p_leads_to_q_a_is_stable-20251125-212018,20,92,1,356596,354332,instantiate_forall,18,AssertFail,19
o4mini,o-AL__tla_forall_a_p_leads_to_q_a_is_stable-20251125-231811,20,92,1,304516,243090,instantiate_forall,17,AssertFail,19
claude-s4,o-IR__marshal_v__impl0__deserialize-20251203-110838,20,91,1,674143,67754,seqsetmap,13,AssertFail,19
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251202-232443,20,90,2,5778253,110716,uselemma,16,AssertFail,19
