model,project,n,verified,verified_rate,failed_or_nonverified,total_tokens,avg_tokens,avg_verified_tokens,avg_nonverified_tokens,avg_time_seconds
claude-s4,ALL,849,487,0.5736,362,422692899,497871.5,125725.1,998521.5,427.4
claude-s4,AC,63,13,0.2063,50,119799434,1901578.3,457366.4,2277073.4,877.2
claude-s4,AL,104,72,0.6923,32,14759564,141918.9,65824.0,313132.3,404.8
claude-s4,IR,118,62,0.5254,56,31982869,271041.3,78577.0,484126.7,452.6
claude-s4,MA,89,67,0.7528,22,10883705,122288.8,60841.6,309423.6,262.2
claude-s4,NO,29,29,1.0,0,1195424,41221.5,41221.5,0,73.3
claude-s4,NR,204,113,0.5539,91,120992224,593099.1,161828.3,1128633.2,467.5
claude-s4,OS,157,83,0.5287,74,97506119,621058.1,215970.2,1075413.4,419.9
claude-s4,ST,63,34,0.5397,29,22120445,351118.2,110433.6,633300.1,321.8
claude-s4,VE,22,14,0.6364,8,3453115,156959.8,30897.4,377568.9,228.8
claude,ALL,849,565,0.6655,284,349823992,412042.4,110999.3,1010948.6,416.7
claude,AC,63,23,0.3651,40,100254102,1591335.0,541779.7,2194829.2,785.4
claude,AL,104,86,0.8269,18,11798435,113446.5,50903.8,412261.5,277.1
claude,IR,118,78,0.661,40,27344739,231735.1,73124.7,541025.3,426.8
claude,MA,89,75,0.8427,14,7655438,86016.2,52437.2,265903.4,232.2
claude,NO,29,28,0.9655,1,1090778,37613.0,26770.1,341216.0,95.8
claude,NR,204,119,0.5833,85,107183804,525410.8,117817.6,1096041.3,493.2
claude,OS,157,95,0.6051,62,74819230,476555.6,177802.5,934322.5,463.8
claude,ST,63,44,0.6984,19,16739220,265701.9,92242.3,667397.8,354.4
claude,VE,22,17,0.7727,5,2938246,133556.6,30567.4,483720.2,269.5
gpt5,ALL,849,460,0.5418,389,129163987,152136.6,64133.5,256202.0,761.3
gpt5,AC,63,17,0.2698,46,24280390,385403.0,164496.7,467042.3,992.1
gpt5,AL,104,82,0.7885,22,5729154,55088.0,34763.9,130841.5,520.8
gpt5,IR,118,52,0.4407,66,12101922,102558.7,48808.7,144907.1,843.9
gpt5,MA,89,64,0.7191,25,5466015,61415.9,41309.8,112887.5,613.0
gpt5,NO,29,24,0.8276,5,1289825,44476.7,29271.2,117463.4,453.5
gpt5,NR,204,97,0.4755,107,39959020,195877.5,76602.4,304005.5,790.1
gpt5,OS,157,69,0.4395,88,31429112,200185.4,97445.8,280742.6,877.8
gpt5,ST,63,39,0.619,24,6942554,110199.3,71965.4,172329.3,760.8
gpt5,VE,22,16,0.7273,6,1965995,89363.4,63068.6,159483.0,701.3
o4mini,ALL,849,345,0.4064,504,318511451,375160.7,107695.9,558246.8,769.7
o4mini,AC,63,12,0.1905,51,60232913,956078.0,348237.0,1099099.4,1014.2
o4mini,AL,104,50,0.4808,54,19080614,183467.4,61003.3,296860.1,741.4
o4mini,IR,118,41,0.3475,77,30296435,256749.4,90025.4,345524.6,830.4
o4mini,MA,89,55,0.618,34,14123126,158686.8,69964.9,302207.6,595.4
o4mini,NO,29,21,0.7241,8,3383392,116668.7,69404.8,240736.5,552.0
o4mini,NR,204,62,0.3039,142,94797248,464692.4,87196.0,629514.8,839.8
o4mini,OS,157,58,0.3694,99,77116245,491186.3,194689.4,664891.5,763.0
o4mini,ST,63,31,0.4921,32,15862996,251793.6,98407.5,400386.4,674.4
o4mini,VE,22,15,0.6818,7,3618482,164476.5,78712.4,348256.6,541.3
