project,file,verified_models,nonverified_models,min_success_tokens,max_nonverified_tokens,token_gap,outcomes
AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,1,3,340012,3371309,3031297,claude:FAILED:1839464; claude-s4:FAILED:3371309; gpt5:VERIFIED:340012; o4mini:FAILED:969791
AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,1,3,650642,3358210,2707568,claude:VERIFIED:650642; claude-s4:FAILED:3358210; gpt5:FAILED:450011; o4mini:FAILED:949455
AC,AC__vreplicaset_controller__proof__liveness__spec__stable_spec_and_assumption_and_invariants_of_all_phases_is_stable.rs,3,1,181009,2616528,2435519,claude:VERIFIED:181009; claude-s4:FAILED:2616528; gpt5:VERIFIED:233604; o4mini:VERIFIED:1009983
OS,OS__kernel__create_and_share_pages__impl0__share_mapping.rs,2,2,230800,2643377,2412577,claude:FAILED:1941596; claude-s4:FAILED:2643377; gpt5:VERIFIED:230800; o4mini:VERIFIED:347877
OS,OS__kernel__create_and_map_pages__impl0__alloc_and_map_io.rs,2,2,109516,2033776,1924260,claude:VERIFIED:181981; claude-s4:FAILED:2033776; gpt5:VERIFIED:109516; o4mini:FAILED:1021846
OS,OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages.rs,1,3,296575,2024926,1728351,claude:FAILED:2024926; claude-s4:FAILED:1950186; gpt5:VERIFIED:296575; o4mini:FAILED:1172325
AC,AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants.rs,1,3,489433,2155873,1666440,claude:FAILED:1466361; claude-s4:FAILED:2155873; gpt5:VERIFIED:489433; o4mini:FAILED:849666
NR,NR__impl_u__wrapped_token__start_unmap_and_acquire_lock.rs,1,3,238991,1820748,1581757,claude:FAILED:1577873; claude-s4:FAILED:1820748; gpt5:VERIFIED:238991; o4mini:FAILED:952126
NR,NR__impl_u__wrapped_token__impl2__register_failed_map.rs,1,3,159895,1607736,1447841,claude:FAILED:1584776; claude-s4:FAILED:1607736; gpt5:VERIFIED:159895; o4mini:FAILED:1276096
AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,1,3,1726940,3090711,1363771,claude:VERIFIED:1726940; claude-s4:FAILED:3090711; gpt5:FAILED:462678; o4mini:FAILED:1060203
NR,NR__spec_t__os_invariant__next_step_preserves_inv_writes.rs,1,3,421870,1751806,1329936,claude:FAILED:1751806; claude-s4:VERIFIED:421870; gpt5:FAILED:322573; o4mini:FAILED:1004475
NR,NR__spec_t__os_invariant__next_step_preserves_inv_shootdown.rs,1,3,1165012,2452144,1287132,claude:VERIFIED:1165012; claude-s4:FAILED:2452144; gpt5:FAILED:413204; o4mini:FAILED:1271028
AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller.rs,1,3,1010669,2224288,1213619,claude:FAILED:2056620; claude-s4:FAILED:2224288; gpt5:FAILED:538661; o4mini:VERIFIED:1010669
NR,NR__impl_u__os_refinement__extra_mappings_inserted.rs,1,3,270476,1465362,1194886,claude:FAILED:1267249; claude-s4:FAILED:1465362; gpt5:VERIFIED:270476; o4mini:FAILED:614239
OS,OS__kernel__create_and_map_pages__impl0__check_io_space_va_range_free.rs,1,3,826840,1986417,1159577,claude:VERIFIED:826840; claude-s4:FAILED:1986417; gpt5:FAILED:413510; o4mini:FAILED:1032485
OS,OS__pagetable__pagetable_impl_base__impl0__get_entry_l1.rs,2,2,119239,1271926,1152687,claude:VERIFIED:119239; claude-s4:FAILED:1271926; gpt5:VERIFIED:207560; o4mini:FAILED:397562
