model,project,file,status,exit_code,time_seconds,input_tokens,output_tokens,total_tokens,cost
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_other_pending_request_interferes_with_vrs_reconcile.rs,FAILED,233,1200,3541706,54988,3596694,11.449938000000001
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_garbage_collector_does_not_delete_vrs_pods.rs,FAILED,233,1200,3359855,46994,3406849,10.784475
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_create_pod_resp_to_receive_create_pod_resp.rs,FAILED,-1,1200,3316034,55275,3371309,10.777227
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp.rs,FAILED,233,1200,3285630,72580,3358210,10.94559
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp.rs,FAILED,-1,1200,3211249,37891,3249140,10.202112
claude-s4,NR,NR__impl_u__os_refinement__next_step_refines_hl_next_step.rs,FAILED,233,1137.56,3187598,45323,3232921,10.242639
claude-s4,AC,AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_no_pending_mutation_request_not_from_controller_on_pods.rs,FAILED,233,1200,3127885,54194,3182079,10.196565000000001
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__reconcile_eventually_terminates.rs,FAILED,233,1190.93,3105642,68774,3174416,10.348536000000001
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_entails_all_invariants.rs,FAILED,233,1200,3139518,32076,3171594,9.899694
claude,AC,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_after_delete_pod_rank_n_to_delete_pod_rank_n_minus_1.rs,FAILED,233,1200,3065248,69290,3134538,10.235094
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_delete_pod_req_to_receive_ok_resp.rs,FAILED,233,1200,3064852,29204,3094056,9.632616
claude-s4,AC,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp.rs,FAILED,-1,1200,3027951,62760,3090711,10.025253
claude,AC,AC__vreplicaset_controller__proof__liveness__spec__spec_entails_all_invariants.rs,FAILED,233,1200,3028131,60747,3088878,9.995598000000001
claude,AC,AC__vreplicaset_controller__proof__liveness__proof_lemma_true_leads_to_always_current_state_matches.rs,FAILED,-1,1200,2969454,47134,3016588,9.615372
