split,task_id,project_code,claude_status,claude_outcome,source_loc,claude_time_seconds,claude_total_tokens,difficulty_proxy,source_sha256
train,AC__vreplicaset_controller__proof__liveness__spec__invariant_since_phase_ii_is_stable,AC,VERIFIED,normal,864,14.47,9773,0.215686,82f51eaf03ba23ef3b532cccc9670a46f8677ada8d3bf335f99c9858f6e9308b
train,AL__leads_to_stable,AL,FAILED,failed,148,1170.85,438307,0.866667,7d340ef4831c231db287e84c7e09715de62f9804d6a4ad04d7cf094b45dd8e54
train,AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp,AC,VERIFIED,normal,4941,863.96,1726940,0.960784,4a684629794f582e2aff5e10601c90600e9298da1b5fa8a78d73f7240504499c
train,AC__vreplicaset_controller__proof__liveness__spec__invariant_since_phase_iii_is_stable,AC,VERIFIED,normal,1084,15.59,11454,0.313725,03ff77c4f20f255d06d09da5a0a33bc115d2b22919356f267c144c54cf548ce3
train,AL__tla_exists_and_equality,AL,VERIFIED,normal,85,217.35,45589,0.666667,48dfdba27e40620bbc4f2d96ce65258472ffd456be2c193c018160c21a8ccae3
train,AL__always_double,AL,VERIFIED,normal,72,37.38,12000,0.201754,6fde9522dda935a24bff6b252b59bac9cbe6bb32d5b3e8fc737c8c2b43da9aea
train,IR__verus_extra__map_fold_finite,IR,VERIFIED,normal,37,22.28,3893,0.171717,6c452a939f438312c6b2815aff42685c835575e3fe9091d0bd4435fe6c46d1a7
train,IR__host_impl_v__impl2__real_init_impl,IR,VERIFIED,normal,1041,1328.97,368879,0.989899,371818c39d61966c37460dafbe30dc511ecc078aacdc2bb72974e100918aab36
train,IR__host_impl_v__make_empty_event_results,IR,VERIFIED,normal,551,79.4,31674,0.666667,0ef42f6ff54a94d4735d842e431c81a510842bbf040d40ffbb9f259b0c52a616
train,AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete,AC,VERIFIED,normal,858,378.44,292921,0.529412,4cd1f7fa5d3e0e2a20ad4567eefe6656482bf451fe235535fb440e592b2e7201
train,AL__tla_forall_always_implies_equality2,AL,VERIFIED,normal,86,50.08,16491,0.45614,5444976059fb541d397d81f15f41c51a896006ac9cbcd7277750f58a80b71f79
